Order_ID,Customer Name,Email,Age,Gender,Country,Order_Date,Product,Category,Price,Quantity,Total_Amount,Payment_Method,Order_Status
ORD024,David Kim,david.kim@email.com,abc,Male,USA,05-06-2023,Bag,Fashion,451,3,1353,PayPal,Returned
ORD025,David Kim,david.kim@email.com,,Female,Canada,2023/01/15,Shoes,Fashion,520,2,1040,Debit Card,Shipped
ORD026, Mike Brown ,mike.brown@email.com,abc,Male,India,05-06-2023,Shoes,Accessories,264,1,264,,Returned
ORD027,Raj Kumar,raj.kumar@email.com,abc,Male,India,15-02-2023,Watch,Electronics,926,2,1852,Debit Card,Shipped
ORD028,Raj Kumar,raj.kumar@email.com,18,Male,Germany,2023/01/15,Tablet,Electronics,435,1,435,PayPal,Returned
ORD029,David Kim,david.kim@email.com,,Male,India,05-06-2023,Camera,Fashion,1156,1,1156,PayPal,Returned
ORD030,Maria Garcia,maria.garcia@email.com,53,Male,Canada,2023/04/05,Headphones,Electronics,934,2,1868,Credit Card,Cancelled
ORD031,John Doe,john.doe@email.com,60,Female,UK,05-06-2023,Camera,Electronics,554,1,554,UPI,Cancelled
ORD032, Raj Kumar ,raj.kumar@email.com,24,Female,USA,2023/01/15,Phone,Electronics,222,1,222,PayPal,Cancelled
ORD033,Sarah Lee,sarah.lee@email.com,22,Female,USA,15-02-2023,Laptop,Accessories,321,1,321,UPI,Returned
ORD034,Maria Garcia,maria.garcia@email.com,51,Male,UK,2023-07-12,Headphones,Electronics,1279,1,1279,UPI,Shipped
ORD035,Emily Davis,emily.davisemail.com,,Male,India,2023/01/15,Bag,Fashion,278,1,278,,Cancelled
ORD036, Sarah Lee ,sarah.lee@email.com,abc,Female,China,2023/01/15,Camera,Accessories,666,1,666,UPI,Shipped
ORD037,Jane Smith,jane.smith@email.com,,Male,India,2023-07-12,Tablet,Fashion,1264,1,1264,Credit Card,Shipped
ORD038,Maria Garcia,maria.garciaemail.com,,Female,Spain,2023-07-12,Bag,Accessories,1256,2,2512,,Shipped
ORD039,Liu Wei,liu.wei@email.com,20,Female,India,15-02-2023,Watch,Accessories,766,2,1532,UPI,Shipped
ORD040,Chris Evans,chris.evansemail.com,,Female,Germany,05-06-2023,Tablet,Accessories,357,3,1071,,Returned
ORD041,Anna Muller,anna.muller@email.com,29,Male,India,2023/01/15,Laptop,Electronics,467,1,467,Debit Card,Cancelled
ORD042,Maria Garcia,maria.garciaemail.com,abc,Female,India,2023/04/05,Headphones,Electronics,791,3,2373,PayPal,Shipped
ORD043,Liu Wei,liu.wei@email.com,,Female,Spain,05-06-2023,Tablet,Electronics,674,1,674,UPI,Shipped
ORD044,Anna Muller,anna.muller@email.com,,Male,Spain,2023-03-10,Phone,Electronics,1039,3,3117,Credit Card,Cancelled
ORD045,Maria Garcia,maria.garcia@email.com,48,Male,USA,05-06-2023,Bag,Fashion,186,1,186,Debit Card,Returned
ORD046, Chris Evans ,chris.evans@email.com,34,Male,UK,05-06-2023,Tablet,Fashion,1111,2,2222,,Shipped
ORD047,David Kim,david.kimemail.com,abc,Male,India,2023/04/05,T-Shirt,Fashion,296,2,592,PayPal,Returned
ORD048,Anna Muller,anna.muller@email.com,abc,Female,Canada,2023-03-10,Laptop,Electronics,1161,1,1161,Debit Card,Returned
ORD049,Jane Smith,jane.smith@email.com,18,Male,Spain,2023-03-10,Laptop,Fashion,746,1,746,Credit Card,Delivered
ORD050,David Kim,david.kim@email.com,abc,Male,UK,2023/04/05,Tablet,Accessories,703,2,1406,Debit Card,Cancelled
ORD051,Emily Davis,emily.davis@email.com,abc,Male,Germany,2023-03-10,Headphones,Fashion,806,1,806,,Returned
ORD052,John Doe,john.doe@email.com,19,Male,Germany,2023/01/15,Phone,Accessories,113,3,339,PayPal,Shipped
ORD053,Raj Kumar,raj.kumar@email.com,abc,Male,Canada,15-02-2023,Watch,Electronics,208,3,624,Debit Card,Cancelled
ORD054,Sarah Lee,sarah.lee@email.com,abc,Female,UK,2023/04/05,Phone,Electronics,823,1,823,UPI,Cancelled
ORD055,Chris Evans,chris.evans@email.com,33,Male,UK,2023/01/15,Tablet,Electronics,1160,2,2320,,Shipped
ORD056,Anna Muller,anna.muller@email.com,38,Male,China,15-02-2023,Phone,Accessories,538,1,538,UPI,Delivered
ORD057,John Doe,john.doe@email.com,53,Male,Spain,2023-03-10,T-Shirt,Electronics,292,3,876,PayPal,Delivered
ORD058,David Kim,david.kim@email.com,26,Female,India,15-02-2023,Watch,Fashion,582,1,582,,Delivered
ORD059,Mike Brown,mike.brown@email.com,,Female,Germany,15-02-2023,Watch,Electronics,56,1,56,PayPal,Shipped
ORD060,Sarah Lee,sarah.lee@email.com,28,Female,China,2023-03-10,T-Shirt,Accessories,33,3,99,UPI,Delivered
ORD061,Jane Smith,jane.smithemail.com,,Female,UK,2023/01/15,Watch,Fashion,259,1,259,UPI,Returned
ORD062, Liu Wei ,liu.wei@email.com,25,Male,USA,05-06-2023,Headphones,Accessories,1440,3,4320,UPI,Cancelled
ORD063,Raj Kumar,raj.kumar@email.com,,Male,Spain,2023/01/15,Tablet,Accessories,756,2,1512,Debit Card,Shipped
ORD064, Sarah Lee ,sarah.lee@email.com,,Male,UK,2023-03-10,Laptop,Accessories,1315,3,3945,PayPal,Delivered
ORD065,Sarah Lee,sarah.lee@email.com,39,Male,India,2023/01/15,Shoes,Accessories,1184,2,2368,UPI,Delivered
ORD066,Jane Smith,jane.smith@email.com,21,Male,India,2023/04/05,Tablet,Accessories,914,3,2742,Credit Card,Shipped
ORD067,Maria Garcia,maria.garcia@email.com,,Male,India,2023/04/05,Tablet,Accessories,86,3,258,UPI,Shipped
ORD068,John Doe,john.doe@email.com,,Male,Germany,05-06-2023,Headphones,Fashion,758,3,2274,UPI,Cancelled
ORD069,David Kim,david.kim@email.com,,Male,China,2023-07-12,Laptop,Accessories,743,1,743,,Returned
ORD070,Chris Evans,chris.evans@email.com,abc,Female,USA,2023/01/15,Headphones,Accessories,1438,1,1438,Credit Card,Returned
ORD071, Mike Brown ,mike.brown@email.com,35,Female,Spain,2023/04/05,Camera,Electronics,1179,2,2358,,Delivered
ORD072, Jane Smith ,jane.smith@email.com,,Female,UK,2023-07-12,Bag,Fashion,169,1,169,PayPal,Delivered
ORD073, Chris Evans ,chris.evans@email.com,,Female,Germany,2023-03-10,Headphones,Electronics,291,2,582,Credit Card,Returned
ORD074,Chris Evans,chris.evans@email.com,abc,Male,USA,2023-03-10,Laptop,Accessories,793,2,1586,PayPal,Shipped
ORD075,David Kim,david.kimemail.com,abc,Male,Germany,2023/01/15,Headphones,Accessories,368,1,368,,Cancelled
ORD076,Sarah Lee,sarah.lee@email.com,48,Male,USA,2023/04/05,Laptop,Electronics,1270,2,2540,PayPal,Shipped
ORD077,Mike Brown,mike.brown@email.com,48,Female,Germany,2023/04/05,Headphones,Accessories,175,1,175,Credit Card,Cancelled
ORD078,Sarah Lee,sarah.lee@email.com,abc,Male,UK,2023-07-12,Shoes,Fashion,208,2,416,PayPal,Delivered
ORD079,Sarah Lee,sarah.lee@email.com,,Male,Canada,15-02-2023,Tablet,Accessories,934,1,934,Debit Card,Returned
ORD080, Mike Brown ,mike.brown@email.com,,Male,Spain,2023-07-12,T-Shirt,Fashion,1468,3,4404,PayPal,Returned
ORD081,Sarah Lee,sarah.lee@email.com,,Female,Germany,2023/01/15,Bag,Accessories,182,2,364,Credit Card,Shipped
ORD082,Chris Evans,chris.evans@email.com,24,Female,Spain,2023-07-12,Headphones,Electronics,279,2,558,UPI,Shipped
ORD083,Jane Smith,jane.smith@email.com,abc,Female,Canada,15-02-2023,T-Shirt,Electronics,467,3,1401,Credit Card,Delivered
ORD084,Jane Smith,jane.smith@email.com,39,Female,USA,2023/01/15,Bag,Accessories,353,2,706,PayPal,Shipped
ORD085,Maria Garcia,maria.garcia@email.com,abc,Female,China,2023-07-12,Laptop,Accessories,1217,3,3651,Credit Card,Returned
ORD086,Anna Muller,anna.muller@email.com,,Male,Canada,2023-07-12,Bag,Electronics,353,3,1059,PayPal,Delivered
ORD087,Mike Brown,mike.brown@email.com,,Female,Canada,2023/01/15,Bag,Electronics,1217,3,3651,,Returned
ORD088,Maria Garcia,maria.garcia@email.com,44,Female,India,05-06-2023,Camera,Accessories,1454,1,1454,,Delivered
ORD089,Emily Davis,emily.davis@email.com,,Female,Spain,05-06-2023,Phone,Accessories,609,1,609,Debit Card,Shipped
ORD090,Jane Smith,jane.smith@email.com,52,Male,Canada,2023/04/05,Watch,Accessories,469,3,1407,Debit Card,Delivered
ORD091,Raj Kumar,raj.kumar@email.com,abc,Male,India,2023-03-10,Shoes,Accessories,868,1,868,UPI,Returned
ORD092,Liu Wei,liu.wei@email.com,abc,Female,China,2023/04/05,Headphones,Electronics,525,1,525,PayPal,Shipped
ORD093,Maria Garcia,maria.garcia@email.com,58,Female,UK,2023-07-12,Phone,Electronics,694,1,694,UPI,Returned
ORD094,Raj Kumar,raj.kumar@email.com,25,Female,UK,05-06-2023,Phone,Electronics,580,1,580,Debit Card,Cancelled
ORD095,Raj Kumar,raj.kumar@email.com,,Female,Spain,2023/04/05,Bag,Electronics,687,3,2061,Credit Card,Delivered
ORD096,Sarah Lee,sarah.lee@email.com,22,Male,India,2023-07-12,Watch,Accessories,223,2,446,Debit Card,Cancelled
ORD097,Chris Evans,chris.evans@email.com,abc,Male,Canada,2023-03-10,Headphones,Fashion,736,1,736,PayPal,Returned
ORD098,David Kim,david.kimemail.com,abc,Female,Germany,2023-07-12,Watch,Accessories,1252,1,1252,Credit Card,Cancelled
ORD099,Emily Davis,emily.davis@email.com,abc,Male,China,05-06-2023,Laptop,Accessories,126,1,126,PayPal,Shipped
ORD100, Jane Smith ,jane.smith@email.com,,Male,USA,2023/01/15,Tablet,Accessories,721,3,2163,Credit Card,Cancelled
ORD101, Emily Davis ,emily.davis@email.com,,Male,India,05-06-2023,Camera,Electronics,576,3,1728,UPI,Shipped
ORD102,Sarah Lee,sarah.lee@email.com,abc,Female,Germany,2023-07-12,Headphones,Electronics,830,3,2490,UPI,Delivered
ORD103,Liu Wei,liu.wei@email.com,44,Female,UK,05-06-2023,Shoes,Electronics,773,1,773,Debit Card,Cancelled
ORD104, Mike Brown ,mike.brown@email.com,,Male,Canada,05-06-2023,Shoes,Fashion,492,1,492,,Delivered
ORD105,Raj Kumar,raj.kumar@email.com,,Female,UK,15-02-2023,Bag,Fashion,1015,2,2030,PayPal,Returned
ORD106,Liu Wei,liu.wei@email.com,abc,Male,UK,2023-03-10,Shoes,Accessories,893,1,893,Debit Card,Cancelled
ORD107,Maria Garcia,maria.garcia@email.com,abc,Female,Spain,2023-03-10,Shoes,Electronics,1493,1,1493,PayPal,Delivered
ORD108,Emily Davis,emily.davisemail.com,abc,Female,Germany,2023/04/05,T-Shirt,Fashion,492,2,984,PayPal,Returned
ORD109,Sarah Lee,sarah.lee@email.com,abc,Female,China,2023-03-10,T-Shirt,Accessories,316,2,632,Credit Card,Returned
ORD110,Liu Wei,liu.wei@email.com,53,Male,UK,2023/01/15,Phone,Accessories,563,2,1126,UPI,Returned
ORD111, John Doe ,john.doe@email.com,,Female,Canada,2023/01/15,Camera,Fashion,1105,3,3315,Debit Card,Shipped
ORD112,Raj Kumar,raj.kumar@email.com,,Female,Spain,05-06-2023,Camera,Electronics,300,2,600,PayPal,Delivered
ORD113,Maria Garcia,maria.garcia@email.com,27,Female,UK,2023-03-10,Laptop,Accessories,532,1,532,PayPal,Returned
ORD114,Anna Muller,anna.muller@email.com,abc,Male,UK,2023-07-12,Shoes,Fashion,367,2,734,UPI,Delivered
ORD115, Chris Evans ,chris.evansemail.com,abc,Female,UK,05-06-2023,T-Shirt,Fashion,1237,2,2474,Credit Card,Returned
ORD116,Jane Smith,jane.smithemail.com,abc,Female,Canada,2023/01/15,Tablet,Fashion,855,1,855,PayPal,Delivered
ORD117,Liu Wei,liu.wei@email.com,abc,Male,Canada,2023/01/15,Phone,Accessories,816,2,1632,Credit Card,Cancelled
ORD118,Raj Kumar,raj.kumar@email.com,,Female,Germany,2023/04/05,Watch,Electronics,881,2,1762,,Delivered
ORD119,Chris Evans,chris.evans@email.com,abc,Female,Canada,15-02-2023,Watch,Fashion,1262,3,3786,Debit Card,Shipped
ORD120,Liu Wei,liu.wei@email.com,abc,Female,USA,2023-03-10,T-Shirt,Electronics,1103,1,1103,Credit Card,Returned
ORD121,John Doe,john.doe@email.com,,Female,UK,05-06-2023,Headphones,Accessories,995,1,995,,Cancelled
ORD122, John Doe ,john.doeemail.com,57,Female,UK,2023/01/15,Laptop,Fashion,1416,3,4248,PayPal,Shipped
ORD123,Mike Brown,mike.brown@email.com,,Female,India,2023-03-10,Bag,Fashion,862,2,1724,UPI,Delivered
ORD124, Raj Kumar ,raj.kumar@email.com,abc,Male,Canada,2023-07-12,Laptop,Electronics,1330,3,3990,UPI,Shipped
ORD125,Liu Wei,liu.wei@email.com,abc,Female,China,2023/04/05,Bag,Accessories,658,1,658,UPI,Cancelled
ORD126,Liu Wei,liu.wei@email.com,abc,Female,USA,2023/01/15,T-Shirt,Fashion,518,3,1554,Credit Card,Shipped
ORD127, Raj Kumar ,raj.kumar@email.com,abc,Male,India,2023/04/05,Tablet,Electronics,1375,2,2750,PayPal,Cancelled
ORD128,David Kim,david.kim@email.com,,Female,UK,2023-07-12,T-Shirt,Fashion,355,1,355,Credit Card,Shipped
ORD129,Chris Evans,chris.evans@email.com,abc,Female,UK,2023/01/15,Phone,Fashion,548,2,1096,PayPal,Delivered
ORD130,Raj Kumar,raj.kumar@email.com,38,Female,USA,2023/01/15,Phone,Accessories,1076,3,3228,PayPal,Returned
ORD131, David Kim ,david.kim@email.com,,Male,China,15-02-2023,Headphones,Fashion,27,3,81,Credit Card,Cancelled
ORD132,Liu Wei,liu.wei@email.com,,Female,USA,05-06-2023,Tablet,Electronics,827,3,2481,Credit Card,Shipped
ORD133,Mike Brown,mike.brown@email.com,,Male,USA,2023-07-12,Watch,Fashion,303,1,303,UPI,Delivered
ORD134,Liu Wei,liu.wei@email.com,45,Male,UK,2023-07-12,Shoes,Accessories,439,3,1317,,Cancelled
ORD135,Mike Brown,mike.brown@email.com,23,Male,Canada,15-02-2023,Shoes,Fashion,445,3,1335,,Delivered
ORD136,Mike Brown,mike.brown@email.com,57,Female,Spain,2023/01/15,Shoes,Accessories,226,1,226,Debit Card,Returned
ORD137,Emily Davis,emily.davis@email.com,28,Female,China,2023-07-12,Phone,Fashion,1292,1,1292,PayPal,Returned
ORD138,Chris Evans,chris.evans@email.com,52,Male,Canada,15-02-2023,Phone,Electronics,1192,1,1192,Debit Card,Returned
ORD139,Maria Garcia,maria.garcia@email.com,,Male,USA,2023-03-10,Tablet,Fashion,1489,3,4467,Debit Card,Shipped
ORD140,Maria Garcia,maria.garcia@email.com,abc,Female,UK,2023-03-10,Laptop,Accessories,1267,2,2534,Credit Card,Delivered
ORD141,John Doe,john.doe@email.com,abc,Male,India,15-02-2023,Headphones,Electronics,413,3,1239,Debit Card,Cancelled
ORD142,John Doe,john.doe@email.com,,Female,Canada,05-06-2023,Camera,Electronics,440,3,1320,Debit Card,Returned
ORD143,David Kim,david.kimemail.com,abc,Female,Canada,2023-03-10,Shoes,Electronics,159,1,159,UPI,Cancelled
ORD144,Mike Brown,mike.brown@email.com,abc,Female,Canada,2023-07-12,T-Shirt,Fashion,145,1,145,Debit Card,Returned
ORD145,Mike Brown,mike.brownemail.com,49,Female,USA,2023-07-12,Tablet,Fashion,543,3,1629,Debit Card,Returned
ORD146,David Kim,david.kim@email.com,abc,Female,Canada,2023/04/05,Shoes,Fashion,633,3,1899,PayPal,Shipped
ORD147, Anna Muller ,anna.muller@email.com,26,Male,India,05-06-2023,Headphones,Fashion,894,1,894,Credit Card,Returned
ORD148,Maria Garcia,maria.garcia@email.com,abc,Female,Germany,2023/04/05,Phone,Fashion,297,3,891,,Cancelled
ORD149,John Doe,john.doe@email.com,18,Female,Spain,15-02-2023,Laptop,Accessories,621,2,1242,Credit Card,Delivered
ORD150, Anna Muller ,anna.muller@email.com,32,Male,UK,2023/04/05,Headphones,Fashion,840,1,840,Credit Card,Cancelled
ORD151,Jane Smith,jane.smith@email.com,43,Male,USA,2023/04/05,Shoes,Fashion,530,3,1590,,Returned
ORD152, Anna Muller ,anna.muller@email.com,,Female,India,2023/04/05,Shoes,Electronics,977,3,2931,,Cancelled
ORD153,John Doe,john.doe@email.com,,Female,USA,15-02-2023,Phone,Electronics,1085,3,3255,Credit Card,Shipped
ORD154,Raj Kumar,raj.kumar@email.com,46,Female,India,15-02-2023,Camera,Fashion,125,2,250,,Cancelled
ORD155,Sarah Lee,sarah.lee@email.com,25,Male,UK,2023/01/15,Watch,Accessories,38,1,38,PayPal,Returned
ORD156,Jane Smith,jane.smith@email.com,abc,Male,UK,2023/04/05,T-Shirt,Electronics,262,2,524,UPI,Returned
ORD157, Anna Muller ,anna.muller@email.com,,Female,Canada,2023/04/05,Headphones,Accessories,48,1,48,Debit Card,Delivered
ORD158, John Doe ,john.doe@email.com,abc,Male,Canada,05-06-2023,Watch,Electronics,1328,1,1328,UPI,Delivered
ORD159, Emily Davis ,emily.davisemail.com,51,Male,China,2023/04/05,Headphones,Accessories,600,3,1800,Credit Card,Shipped
ORD160, John Doe ,john.doe@email.com,,Male,UK,2023-07-12,Phone,Electronics,1484,2,2968,UPI,Delivered
ORD161,Anna Muller,anna.muller@email.com,abc,Male,UK,05-06-2023,Camera,Accessories,42,1,42,Debit Card,Shipped
ORD162, Mike Brown ,mike.brown@email.com,43,Male,China,2023-03-10,Camera,Electronics,552,1,552,UPI,Shipped
ORD163,Jane Smith,jane.smith@email.com,,Male,UK,2023-07-12,Bag,Electronics,616,2,1232,PayPal,Returned
ORD164,Anna Muller,anna.muller@email.com,abc,Female,China,2023/01/15,Shoes,Fashion,41,2,82,Debit Card,Cancelled
ORD165, David Kim ,david.kim@email.com,abc,Female,UK,2023/01/15,T-Shirt,Accessories,82,2,164,Credit Card,Delivered
ORD166,Emily Davis,emily.davis@email.com,abc,Female,Spain,15-02-2023,Watch,Accessories,132,1,132,PayPal,Delivered
ORD167,Mike Brown,mike.brown@email.com,abc,Female,China,2023/01/15,Bag,Electronics,1152,3,3456,UPI,Returned
ORD168, Emily Davis ,emily.davisemail.com,52,Female,Spain,2023/04/05,Headphones,Electronics,390,3,1170,,Returned
ORD169,Sarah Lee,sarah.lee@email.com,,Male,Canada,2023-03-10,T-Shirt,Fashion,1486,2,2972,PayPal,Cancelled
ORD170, Maria Garcia ,maria.garcia@email.com,,Male,China,05-06-2023,Camera,Fashion,175,1,175,,Delivered
ORD171,Emily Davis,emily.davis@email.com,18,Male,India,2023-03-10,Shoes,Accessories,796,3,2388,,Returned
ORD172,Maria Garcia,maria.garcia@email.com,32,Female,USA,2023/04/05,Camera,Accessories,1488,3,4464,,Cancelled
ORD173,Raj Kumar,raj.kumar@email.com,47,Female,China,2023-07-12,Bag,Fashion,914,2,1828,PayPal,Cancelled
ORD174,Liu Wei,liu.wei@email.com,,Male,Spain,05-06-2023,Camera,Accessories,792,3,2376,,Returned
ORD175, John Doe ,john.doe@email.com,40,Female,China,2023-07-12,Shoes,Accessories,627,1,627,,Delivered
ORD176,Raj Kumar,raj.kumaremail.com,,Female,Spain,2023-03-10,Headphones,Electronics,95,2,190,Debit Card,Shipped
ORD177, Sarah Lee ,sarah.lee@email.com,45,Male,USA,2023/04/05,Phone,Accessories,1437,1,1437,PayPal,Cancelled
ORD178,Chris Evans,chris.evans@email.com,,Male,Germany,05-06-2023,Camera,Fashion,801,2,1602,UPI,Cancelled
ORD179, Maria Garcia ,maria.garcia@email.com,,Female,USA,15-02-2023,Shoes,Fashion,1375,2,2750,Debit Card,Cancelled
ORD180,David Kim,david.kim@email.com,,Male,India,2023-07-12,Laptop,Electronics,29,1,29,UPI,Cancelled
ORD181, Liu Wei ,liu.wei@email.com,abc,Female,India,2023-03-10,Headphones,Electronics,1494,1,1494,,Shipped
ORD182,Maria Garcia,maria.garcia@email.com,abc,Male,Spain,2023/01/15,Shoes,Accessories,313,2,626,Debit Card,Shipped
ORD183,Emily Davis,emily.davis@email.com,36,Female,Germany,05-06-2023,Tablet,Fashion,1202,3,3606,Credit Card,Cancelled
ORD184, Chris Evans ,chris.evans@email.com,23,Male,Germany,15-02-2023,Phone,Accessories,1219,2,2438,Debit Card,Delivered
ORD185,Chris Evans,chris.evans@email.com,,Male,UK,2023-07-12,Headphones,Accessories,613,1,613,Credit Card,Cancelled
ORD186,Jane Smith,jane.smith@email.com,,Male,Spain,2023/01/15,Phone,Accessories,1355,1,1355,PayPal,Returned
ORD187, John Doe ,john.doe@email.com,,Male,India,2023-07-12,Phone,Electronics,936,3,2808,Credit Card,Delivered
ORD188,Maria Garcia,maria.garcia@email.com,24,Male,USA,2023/01/15,Tablet,Fashion,116,3,348,UPI,Returned
ORD189,Liu Wei,liu.wei@email.com,,Female,USA,2023/01/15,Bag,Electronics,291,3,873,,Cancelled
ORD190,Emily Davis,emily.davis@email.com,33,Female,UK,05-06-2023,Tablet,Accessories,790,1,790,PayPal,Shipped
ORD191,Mike Brown,mike.brown@email.com,abc,Female,China,15-02-2023,Bag,Accessories,1087,3,3261,Debit Card,Delivered
ORD192,Mike Brown,mike.brown@email.com,,Male,USA,2023/01/15,Tablet,Electronics,1308,3,3924,Debit Card,Cancelled
ORD193,Liu Wei,liu.wei@email.com,,Male,UK,15-02-2023,Phone,Electronics,236,2,472,PayPal,Delivered
ORD194,Anna Muller,anna.muller@email.com,49,Male,Spain,2023-07-12,Bag,Electronics,861,3,2583,,Cancelled
ORD195,John Doe,john.doe@email.com,31,Male,Canada,2023-03-10,Bag,Accessories,658,1,658,Credit Card,Shipped
ORD196,Anna Muller,anna.muller@email.com,abc,Female,Spain,15-02-2023,Headphones,Accessories,1477,3,4431,,Shipped
ORD197,David Kim,david.kim@email.com,abc,Female,UK,2023-03-10,Phone,Fashion,998,2,1996,UPI,Delivered
ORD198, Jane Smith ,jane.smith@email.com,abc,Female,Canada,2023-03-10,T-Shirt,Electronics,74,3,222,,Cancelled
ORD199,Maria Garcia,maria.garcia@email.com,,Male,China,05-06-2023,Shoes,Electronics,865,3,2595,Credit Card,Shipped
ORD200,Liu Wei,liu.wei@email.com,,Female,Germany,2023-07-12,Tablet,Electronics,274,2,548,Debit Card,Shipped
ORD201,Mike Brown,mike.brown@email.com,,Male,India,15-02-2023,Headphones,Fashion,1019,3,3057,PayPal,Cancelled
ORD202, John Doe ,john.doe@email.com,60,Male,India,15-02-2023,Laptop,Electronics,611,1,611,Credit Card,Cancelled
ORD203, Sarah Lee ,sarah.lee@email.com,,Male,China,2023-03-10,T-Shirt,Accessories,645,3,1935,,Shipped
ORD204,Jane Smith,jane.smith@email.com,,Female,China,2023-07-12,Laptop,Electronics,959,3,2877,UPI,Returned
ORD205,John Doe,john.doe@email.com,38,Female,Spain,2023/04/05,Headphones,Fashion,1209,3,3627,UPI,Delivered
ORD206,Emily Davis,emily.davis@email.com,41,Male,USA,2023/01/15,Watch,Accessories,1026,3,3078,,Cancelled
ORD207, Anna Muller ,anna.muller@email.com,,Male,Canada,2023-03-10,T-Shirt,Fashion,76,2,152,Credit Card,Delivered
ORD208,Maria Garcia,maria.garcia@email.com,50,Female,Canada,2023/04/05,Camera,Electronics,1018,1,1018,,Shipped
ORD209,Sarah Lee,sarah.lee@email.com,53,Male,India,15-02-2023,T-Shirt,Accessories,857,2,1714,PayPal,Returned
ORD210,Jane Smith,jane.smith@email.com,abc,Male,Germany,2023-03-10,Tablet,Accessories,543,2,1086,UPI,Cancelled
ORD211,Mike Brown,mike.brown@email.com,abc,Female,USA,05-06-2023,Camera,Fashion,182,2,364,Debit Card,Delivered
ORD212,Sarah Lee,sarah.lee@email.com,47,Female,UK,2023/04/05,Laptop,Electronics,1001,2,2002,Credit Card,Shipped
ORD213,Maria Garcia,maria.garcia@email.com,47,Female,China,2023-03-10,Tablet,Accessories,818,1,818,UPI,Delivered
ORD214, Sarah Lee ,sarah.lee@email.com,abc,Male,Germany,2023-07-12,Headphones,Electronics,1328,3,3984,Credit Card,Returned
ORD215,Anna Muller,anna.muller@email.com,32,Male,USA,05-06-2023,Shoes,Fashion,1037,3,3111,Credit Card,Returned
ORD216,Chris Evans,chris.evans@email.com,30,Male,USA,2023-07-12,Camera,Fashion,738,3,2214,UPI,Shipped
ORD217,Sarah Lee,sarah.lee@email.com,abc,Female,Canada,2023-03-10,Headphones,Accessories,413,1,413,,Cancelled
ORD218,John Doe,john.doe@email.com,,Female,Spain,05-06-2023,Bag,Electronics,1191,3,3573,Credit Card,Returned
